Section,Work Item ID,Level,Type,Title,State,Priority,Story Points,Effort,Assigned To,Area Path,Sprint,Parent ID,Created Date,Created By,Last Updated,Updated By,Tags,Release,Remaining Work,Completed Work,Original Estimate,Activated Date,Resolved Date,Closed Date,Target Date,Comment Count,Related Link Count,Description Summary,Acceptance Criteria,Hierarchy Path,Relationship Type,Related ID,Related Type,Related Title,Event Date,Event Type,Actor,State Change,Details,URL
Basic Info,207227,1,Epic,Golf Scorecard Tracker 2.1: Mobile App Integration for Pro Players,New,1,,6,Kevin,eng\Tech\Security,Backlog,199801,2026-01-13,Alice,2026-03-17,Emily,PIPE,26.15.4,,,,,,,2026-04-25,8,3,API integration for mobile scorecard validation in tournaments. Requested by Professional Golf Association for one-tap tournament workflow.,4 sprints planned: Sprint 1 (Analysis) → Sprint 2 (Implementation) → Sprint 3 (Testing) → Sprint 4 (QA),Epic,,,,,,,,,,https://dev.azure.com/demo/proj/_workitems/edit/207227
Basic Info,207241,2,Feature,Add tests for GolfScorecardTool 2.1,Active,2,,,Emily,eng\Tech\Security,Sprint 6,207227,2026-01-14,Kevin,2026-03-16,Henry,,26.15.5,,,,2026-03-12,,,2026-03-28,5,2,Add comprehensive unit tests for GolfScorecardTool 2.1 API wrapper library. Cover core functionality and edge cases.,"Increase test coverage, prevent regressions, improve code reliability and maintainability",Epic → Feature,,,,,,,,,,https://dev.azure.com/demo/proj/_workitems/edit/207241
Basic Info,209041,3,User Story,System Test,New,2,,,Emily,eng\Tech\Security,Sprint 6,207241,2026-01-18,Emily,2026-03-01,Emily,,26.15.5,,,,,,,2026-03-28,3,3,System test that simulates the full tournament scorecard workflow to ensure stability under continuous operation.,Has 5 child tasks including #222776,Epic → Feature → User Story,,,,,,,,,,https://dev.azure.com/demo/proj/_workitems/edit/209041
Basic Info,222776,4,Task,Integrate GolfScorecardTool 2.1 --verify into golf-tournament-app scorecardvalidation,Active,2,2,,Emily,eng\Tech\Security,Sprint 6,209041,2026-03-19,Emily,2026-03-19,Emily,,,14,2,16,2026-03-19,,,2026-03-26,1,1,Integrate the GolfScorecardTool 2.1 --verify command into scorecardvalidation suite for automated verification testing.,"1) --verify integrated into scorecardvalidation, 2) Test cases documented in Excel, 3) Tests execute successfully, 4) Updated test suite available in XTS artifact",Epic → Feature → User Story → Task,,,,,,,,,,https://dev.azure.com/demo/proj/_workitems/edit/222776
Relationships,207227,1,Epic,Golf Scorecard Tracker 2.1: Mobile App Integration for Pro Players,New,1,,6,Kevin,eng\Tech\Security,Backlog,199801,2026-01-13,Alice,2026-03-17,Emily,PIPE,26.15.4,,,,,,,2026-04-25,8,3,,,Epic,Parent of,207241,Feature,Add tests for GolfScorecardTool 2.1,,,,,,https://dev.azure.com/demo/proj/_workitems/edit/207227
Relationships,207227,1,Epic,Golf Scorecard Tracker 2.1: Mobile App Integration for Pro Players,New,1,,6,Kevin,eng\Tech\Security,Backlog,199801,2026-01-13,Alice,2026-03-17,Emily,PIPE,26.15.4,,,,,,,2026-04-25,8,3,,,Epic,Ancestor of,209041,User Story,System Test,,,,,,https://dev.azure.com/demo/proj/_workitems/edit/207227
Relationships,207227,1,Epic,Golf Scorecard Tracker 2.1: Mobile App Integration for Pro Players,New,1,,6,Kevin,eng\Tech\Security,Backlog,199801,2026-01-13,Alice,2026-03-17,Emily,PIPE,26.15.4,,,,,,,2026-04-25,8,3,,,Epic,Ancestor of,222776,Task,Integrate GolfScorecardTool 2.1 --verify,,,,,,https://dev.azure.com/demo/proj/_workitems/edit/207227
Relationships,207241,2,Feature,Add tests for GolfScorecardTool 2.1,Active,2,,,Emily,eng\Tech\Security,Sprint 6,207227,2026-01-14,Kevin,2026-03-16,Henry,,26.15.5,,,,2026-03-12,,,2026-03-28,5,2,,,Epic → Feature,Parent of,209041,User Story,System Test,,,,,,https://dev.azure.com/demo/proj/_workitems/edit/207241
Relationships,207241,2,Feature,Add tests for GolfScorecardTool 2.1,Active,2,,,Emily,eng\Tech\Security,Sprint 6,207227,2026-01-14,Kevin,2026-03-16,Henry,,26.15.5,,,,2026-03-12,,,2026-03-28,5,2,,,Epic → Feature,Ancestor of,222776,Task,Integrate GolfScorecardTool 2.1 --verify,,,,,,https://dev.azure.com/demo/proj/_workitems/edit/207241
Relationships,209041,3,User Story,System Test,New,2,,,Emily,eng\Tech\Security,Sprint 6,207241,2026-01-18,Emily,2026-03-01,Emily,,26.15.5,,,,,,,2026-03-28,3,3,,,Epic → Feature → User Story,Parent of,222776,Task,Integrate GolfScorecardTool 2.1 --verify,,,,,,https://dev.azure.com/demo/proj/_workitems/edit/209041
Relationships,209041,3,User Story,System Test,New,2,,,Emily,eng\Tech\Security,Sprint 6,207241,2026-01-18,Emily,2026-03-01,Emily,,26.15.5,,,,,,,2026-03-28,3,3,,,Epic → Feature → User Story,Sibling of,209042,Task,Other task under same User Story,,,,,,https://dev.azure.com/demo/proj/_workitems/edit/209041
Relationships,209041,3,User Story,System Test,New,2,,,Emily,eng\Tech\Security,Sprint 6,207241,2026-01-18,Emily,2026-03-01,Emily,,26.15.5,,,,,,,2026-03-28,3,3,,,Epic → Feature → User Story,Sibling of,210371,Task,Other task under same User Story,,,,,,https://dev.azure.com/demo/proj/_workitems/edit/209041
Timeline,207227,1,Epic,Golf Scorecard Tracker 2.1: Mobile App Integration for Pro Players,New,1,,6,Kevin,eng\Tech\Security,Backlog,199801,2026-01-13,Alice,2026-03-17,Emily,PIPE,26.15.4,,,,,,,2026-04-25,8,3,,,,,,,,2026-01-13,Created,Alice,→ New,Epic created to track API integration for Professional Golf Association,https://dev.azure.com/demo/proj/_workitems/edit/207227
Timeline,207241,2,Feature,Add tests for GolfScorecardTool 2.1,Active,2,,,Emily,eng\Tech\Security,Sprint 6,207227,2026-01-14,Kevin,2026-03-16,Henry,,26.15.5,,,,2026-03-12,,,2026-03-28,5,2,,,,,,,,2026-01-14,Created,Kevin,→ New,Feature created under Epic #207227 to add comprehensive unit tests,https://dev.azure.com/demo/proj/_workitems/edit/207241
Timeline,209041,3,User Story,System Test,New,2,,,Emily,eng\Tech\Security,Sprint 6,207241,2026-01-18,Emily,2026-03-01,Emily,,26.15.5,,,,,,,2026-03-28,3,3,,,,,,,,2026-01-18,Created,Emily,→ New,User Story created for full tournament workflow system test,https://dev.azure.com/demo/proj/_workitems/edit/209041
Timeline,209041,3,User Story,System Test,New,2,,,Emily,eng\Tech\Security,Sprint 6,207241,2026-01-18,Emily,2026-03-01,Emily,,26.15.5,,,,,,,2026-03-28,3,3,,,,,,,,2026-03-01,Updated,Emily,New,User Story details updated,https://dev.azure.com/demo/proj/_workitems/edit/209041
Timeline,207241,2,Feature,Add tests for GolfScorecardTool 2.1,Active,2,,,Emily,eng\Tech\Security,Sprint 6,207227,2026-01-14,Kevin,2026-03-16,Henry,,26.15.5,,,,2026-03-12,,,2026-03-28,5,2,,,,,,,,2026-03-12,State Change,Emily,New → Active,Feature moved to Active state - implementation started,https://dev.azure.com/demo/proj/_workitems/edit/207241
Timeline,207241,2,Feature,Add tests for GolfScorecardTool 2.1,Active,2,,,Emily,eng\Tech\Security,Sprint 6,207227,2026-01-14,Kevin,2026-03-16,Henry,,26.15.5,,,,2026-03-12,,,2026-03-28,5,2,,,,,,,,2026-03-16,Updated,Henry,Active,Feature details updated by PM,https://dev.azure.com/demo/proj/_workitems/edit/207241
Timeline,207227,1,Epic,Golf Scorecard Tracker 2.1: Mobile App Integration for Pro Players,New,1,,6,Kevin,eng\Tech\Security,Backlog,199801,2026-01-13,Alice,2026-03-17,Emily,PIPE,26.15.4,,,,,,,2026-04-25,8,3,,,,,,,,2026-03-17,Updated,Emily,New,Epic timeline concerns noted - testing may slip to April,https://dev.azure.com/demo/proj/_workitems/edit/207227
Timeline,222776,4,Task,Integrate GolfScorecardTool 2.1 --verify into golf-tournament-app scorecardvalidation,Active,2,2,,Emily,eng\Tech\Security,Sprint 6,209041,2026-03-19,Emily,2026-03-19,Emily,,,14,2,16,2026-03-19,,,2026-03-26,1,1,,,,,,,,2026-03-19,Created,Emily,→ Active,Task created to integrate --verify command into scorecardvalidation suite (2 SP),https://dev.azure.com/demo/proj/_workitems/edit/222776
Timeline,222776,4,Task,Integrate GolfScorecardTool 2.1 --verify into golf-tournament-app scorecardvalidation,Active,2,2,,Emily,eng\Tech\Security,Sprint 6,209041,2026-03-19,Emily,2026-03-19,Emily,,,14,2,16,2026-03-19,,,2026-03-26,1,1,,,,,,,,2026-03-19,State Change,Emily,New → Active,Task activated - work started on integration,https://dev.azure.com/demo/proj/_workitems/edit/222776
